Province,Province_GeoJSON,Year,Electricity_GWh
KALIMANTAN TENGAH,KALIMANTANTENGAH,2023,1831.08
KALIMANTAN TIMUR,KALIMANTANTIMUR,2023,4803.87
KALIMANTAN UTARA,KALIMANTANUTARA,2023,263.04
KEP. BANGKA BELITUNG,BANGKABELITUNG,2023,1610.81
KEP. RIAU,KEPULAUANRIAU,2023,4209.39
LAMPUNG,LAMPUNG,2023,5761.91
MALUKU,MALUKU,2023,633.56
MALUKU UTARA,MALUKUUTARA,2023,1018.52
NUSA TENGGARA BARAT,NUSATENGGARABARAT,2023,2572.6
NUSA TENGGARA TIMUR,NUSATENGGARATIMUR,2023,1333.25
PAPUA,PAPUA,2023,1342.39
PAPUA BARAT,PAPUABARAT,2023,667.98
RIAU,RIAU,2023,8212.56
SULAWESI BARAT,SULAWESIBARAT,2023,518.33
SULAWESI SELATAN,SULAWESISELATAN,2023,8558.03
SULAWESI TENGAH,SULAWESITENGAH,2023,1602.92
SULAWESI TENGGARA,SULAWESITENGGARA,2023,1342.95
SULAWESI UTARA,SULAWESIUTARA,2023,2095.38
SUMATERA BARAT,SUMATERABARAT,2023,3810.84
SUMATERA SELATAN,SUMATERASELATAN,2023,6278.5
SUMATERA UTARA,SUMATERAUTARA,2023,12472.84
