Province,Year,Electricity_GWh,Province_GeoJSON
KALIMANTAN TENGAH,2023,1831.08,KALIMANTANTENGAH
KALIMANTAN TIMUR,2023,4803.87,KALIMANTANTIMUR
KALIMANTAN UTARA,2023,263.04,KALIMANTANUTARA
KEP. BANGKA BELITUNG,2023,1610.81,BANGKABELITUNG
KEP. RIAU,2023,4209.39,KEPULAUANRIAU
LAMPUNG,2023,5761.91,LAMPUNG
MALUKU,2023,633.56,MALUKU
MALUKU UTARA,2023,1018.52,MALUKUUTARA
NUSA TENGGARA BARAT,2023,2572.6,NUSATENGGARABARAT
NUSA TENGGARA TIMUR,2023,1333.25,NUSATENGGARATIMUR
PAPUA,2023,1342.39,PAPUA
PAPUA BARAT,2023,667.98,PAPUABARAT
RIAU,2023,8212.56,RIAU
SULAWESI BARAT,2023,518.33,SULAWESIBARAT
SULAWESI SELATAN,2023,8558.03,SULAWESISELATAN
SULAWESI TENGAH,2023,1602.92,SULAWESITENGAH
SULAWESI TENGGARA,2023,1342.95,SULAWESITENGGARA
SULAWESI UTARA,2023,2095.38,SULAWESIUTARA
SUMATERA BARAT,2023,3810.84,SUMATERABARAT
SUMATERA SELATAN,2023,6278.5,SUMATERASELATAN
SUMATERA UTARA,2023,12472.84,SUMATERAUTARA
